dialog_id,original_text,detected_brand,normalized_brand,confidence
0,"это атлас пласт отвод, канализационный 90 ° и AE&T, отвод канализационный д 50 на 87 град серого цвета","это атлас пласт отвод, канализационный 90 ° и AE&T, отвод канализационный д 50 на 87 град серого цвета",атлас пласт,0.99
0,"это атлас пласт отвод, канализационный 90 ° и AE&T, отвод канализационный д 50 на 87 град серого цвета","это атлас пласт отвод, канализационный 90 ° и AE&T, отвод канализационный д 50 на 87 град серого цвета",ae&t,0.99
6,"Менеджер: Да, все инструменты, точка ру.","Менеджер: Да, все инструменты, точка ру.",всеинструменты.ру,0.96
9,"Да, физическое заказ был оформлен через Яндекс Маркет.","Да, физическое заказ был оформлен через Яндекс Маркет.",яндекс маркет,0.98
9,Яндекс Маркета возврат одобрил,Яндекс Маркета возврат одобрил,яндекс маркет,0.98
9,"чтобы с вами связался менеджер, который работает у нас именно с Яндекс, Маркетом и Озоном.","чтобы с вами связался менеджер, который работает у нас именно с Яндекс, Маркетом и Озоном.",yandex,0.95
9,"чтобы с вами связался менеджер, который работает у нас именно с Яндекс, Маркетом и Озоном.","чтобы с вами связался менеджер, который работает у нас именно с Яндекс, Маркетом и Озоном.",ozon,0.9
12,через приложение Озон захожу в товар,через приложение Озон захожу в товар,ozon,0.99
15,заказал ножовочную пилу Интерскол МП. 120-10,заказал ножовочную пилу Интерскол МП. 120-10,интерскол,1.0
17,Кн Корп нижнее подчеркивание пр. Собака Майл Точка Ру.,Кн Корп нижнее подчеркивание пр. Собака Майл Точка Ру.,mile,0.92
18,В заказе у вас идет газонокосилка Элмас и нож.,В заказе у вас идет газонокосилка Элмас и нож.,elmos,0.99
19,"Клиент: А здрасьте, расскажите сейчас сбер, спасибо, то принимается к оплате или нет.","Клиент: А здрасьте, расскажите сейчас сбер, спасибо, то принимается к оплате или нет.",sber,0.99
25,"А да, магазин Все Инструменты, точка ру.","А да, магазин Все Инструменты, точка ру.",всеинструменты.ру,1.0
25,"Здравствуй, поддержки Яндекс Маркета.","Здравствуй, поддержки Яндекс Маркета.",яндекс маркет,1.0
35,"масло было, Лакерис, которого не было в наличии","масло было, Лакерис, которого не было в наличии",лакирис,0.99
36,у вас все инструменты.,у вас все инструменты.,всеинструменты.ру,0.95
43,"Пена монтажная Технониколь и кровельный герметик, битумно-каучуковый.","Пена монтажная Технониколь и кровельный герметик, битумно-каучуковый.",технониколь,0.99
43,"рисует 61, собака Майл Ру.","рисует 61, собака Майл Ру.",mile,0.97
48,"Менеджер: Но в данном случае там есть да, то есть они направляют к нам в чат звонить по телефону продавца. Также есть чат с продавцом, то есть вам именно туда надо написать вам по возврату, все уточнят чат с продавцом.","Менеджер: Но в данном случае там есть да, то есть они направляют к нам в чат звонить по телефону продавца. Также есть чат с продавцом, то есть вам именно туда надо написать вам по возврату, все уточнят чат с продавцом.",yandex,0.99
48,"Клиент: Добрый день, девушка, скажите, а через Яндекс Маркет там?","Клиент: Добрый день, девушка, скажите, а через Яндекс Маркет там?",yandex,0.99
48,"Клиент: Добрый день, девушка, скажите, а через Яндекс Маркет там?","Клиент: Добрый день, девушка, скажите, а через Яндекс Маркет там?",яндекс маркет,0.99
49,блистер патриот Бренда,блистер патриот Бренда,patriot,0.96
49,Цепная пила Бренда стран также ИНТЕРСКОЛ пила электрическая цепная,Цепная пила Бренда стран также ИНТЕРСКОЛ пила электрическая цепная,интерскол,0.98
49,Поступила 2000 ИНТЕРСКОЛ да ИНТЕРСКОЛ ИНТЕРСКОЛ,Поступила 2000 ИНТЕРСКОЛ да ИНТЕРСКОЛ ИНТЕРСКОЛ,интерскол,0.98
49,"Шторм поступил да шторм пока на данный момент минуту посмотрю, штурм должен поступить","Шторм поступил да шторм пока на данный момент минуту посмотрю, штурм должен поступить",шторм,0.94
49,За ожидание да как раз таки штурм пила цепная,За ожидание да как раз таки штурм пила цепная,шторм,0.94
54,Супермат 200 калео называется Калео.,Супермат 200 калео называется Калео.,caleo,0.99
54,"И последнее мат там еще был нагреваться ELECTROLITE, да?","И последнее мат там еще был нагреваться ELECTROLITE, да?",electrolite,0.99
55,не на озоне,не на озоне,ozon,0.98
55,Гигант шнек для бензобура,Гигант шнек для бензобура,gigant,0.96
56,служба поддержки Яндекс. Маркета,служба поддержки Яндекс. Маркета,яндекс маркет,0.99
56,заказы Яндекс Маркета,заказы Яндекс Маркета,яндекс маркет,0.99
58,"если вы оформляли заказ через площадку Яндекс Маркет, то, соответственно, необходимо будет обратиться в чат с продавцом на площадке Яндекс Маркет.","если вы оформляли заказ через площадку Яндекс Маркет, то, соответственно, необходимо будет обратиться в чат с продавцом на площадке Яндекс Маркет.",яндекс маркет,0.99
58,"Я написал в чат продавцам через Яндекс Маркет, прошу про них, про них хранить.","Я написал в чат продавцам через Яндекс Маркет, прошу про них, про них хранить.",яндекс маркет,0.99
58,"Если вы оформляете через Яндекс Маркет, то все вопросы тоже через поддержку Яндекс Маркета.","Если вы оформляете через Яндекс Маркет, то все вопросы тоже через поддержку Яндекс Маркета.",яндекс маркет,0.99
63,поддержка Яндекс. Маркета,поддержка Яндекс. Маркета,яндекс маркет,0.99
63,"информацию только передаю на почту Яндекса, чтобы уточнить","информацию только передаю на почту Яндекса, чтобы уточнить",яндекс маркет,0.99
63,"информацию только передаю на почту Яндекса, чтобы уточнить","информацию только передаю на почту Яндекса, чтобы уточнить",yandex,0.98
67,это газонокосилка PATRIOT,это газонокосилка PATRIOT,patriot,0.99
74,"…вы оформляли возврат на остальную стремянку, правильно, Алибест?","…вы оформляли возврат на остальную стремянку, правильно, Алибест?",алюбэст,0.98
75,ВТБ Сбербанк Сбербанк,ВТБ Сбербанк Сбербанк,sber,0.98
76,То есть заказ изначально оформляли на нашем сайте или Яндекс или Озон?,То есть заказ изначально оформляли на нашем сайте или Яндекс или Озон?,yandex,0.99
76,Я в Яндексе оформил возврат,Я в Яндексе оформил возврат,yandex,0.99
76,То есть заказ изначально оформляли на нашем сайте или Яндекс или Озон?,То есть заказ изначально оформляли на нашем сайте или Яндекс или Озон?,ozon,0.99
78,рукав от CENTEK не доставляли,рукав от CENTEK не доставляли,centek,0.99
85,"Так, а вы где заказывали в Яндекс. Маркете или озоне, или нет, нет у нас.","Так, а вы где заказывали в Яндекс. Маркете или озоне, или нет, нет у нас.",яндекс маркет,0.99
85,"Так, а вы где заказывали в Яндекс. Маркете или озоне, или нет, нет у нас.","Так, а вы где заказывали в Яндекс. Маркете или озоне, или нет, нет у нас.",ozon,0.98
87,"Лестницу вы вернули, а масло вы забрали правильно Газпромнефть, которое было.","Лестницу вы вернули, а масло вы забрали правильно Газпромнефть, которое было.",gazpromneft,0.96
99,"...вот все, все инструменты, как мне обратно...","...вот все, все инструменты, как мне обратно...",всеинструменты.ру,0.6
108,В этом случае вам нужно обратиться в Яндекс. Маркет в чат уточнить информацию,В этом случае вам нужно обратиться в Яндекс. Маркет в чат уточнить информацию,яндекс маркет,0.99
112,Звездочка 99 875 на о Эр,Звездочка 99 875 на о Эр,звездочка,0.99
112,Вы же перфоратор заказали AE&T?,Вы же перфоратор заказали AE&T?,ae&t,0.99
112,вы сдавали перфоратора AE&T,вы сдавали перфоратора AE&T,ae&t,0.99
115,ВИХРЬ ВИХРЬ называется Шуруповерт,ВИХРЬ ВИХРЬ называется Шуруповерт,вихрь,0.96
116,генеральному директору ООО Все инструменты Фахрутдинову,генеральному директору ООО Все инструменты Фахрутдинову,всеинструменты.ру,0.99
121,"Менеджер: Так это мы по телефону делаем, подождите 1 минуту. Вот вы заказали штиль однофазный, правильно переменного напряжения сейчас 1 минуту.","Менеджер: Так это мы по телефону делаем, подождите 1 минуту. Вот вы заказали штиль однофазный, правильно переменного напряжения сейчас 1 минуту.",штиль,0.95
124,"Ожидаю доставку из озон, да?","Ожидаю доставку из озон, да?",ozon,0.99
124,"можете в чат озона обратиться, подскажут вам.","можете в чат озона обратиться, подскажут вам.",ozon,0.99
129,"ЗУБР так и Триммер, понятно, Триммер Евролюкс","ЗУБР так и Триммер, понятно, Триммер Евролюкс",zubr,0.98
129,Триммер Евролюкс,Триммер Евролюкс,eurolux,0.99
131,"Да, все инструменты, точка ру.","Да, все инструменты, точка ру.",всеинструменты.ру,0.98
131,"мне звонили с вашего номера по заказу озона, видимо.","мне звонили с вашего номера по заказу озона, видимо.",ozon,0.99
135,я делал заказ через Яндекс. Маркет во всех инструментах,я делал заказ через Яндекс. Маркет во всех инструментах,yandex,0.95
135,вы же через Яндекс. Маркет оформляли заказ,вы же через Яндекс. Маркет оформляли заказ,yandex,0.95
135,я делал заказ через Яндекс. Маркет во всех инструментах,я делал заказ через Яндекс. Маркет во всех инструментах,яндекс маркет,0.98
135,возврат это будет в Яндекс Маркет,возврат это будет в Яндекс Маркет,яндекс маркет,0.98
135,нужно обратиться в Яндекс Маркет для возврата именно товара,нужно обратиться в Яндекс Маркет для возврата именно товара,яндекс маркет,0.98
136,"Клиент: Добрый вечер, подскажите, пожалуйста, вот раньше я заказывал у вас на сайте различные инструменты. Там предметы и там можно было часть покупки оплатить бонусами. От Сбербанка спасибо бонусами, спасибо от Сбербанка.","Клиент: Добрый вечер, подскажите, пожалуйста, вот раньше я заказывал у вас на сайте различные инструменты. Там предметы и там можно было часть покупки оплатить бонусами. От Сбербанка спасибо бонусами, спасибо от Сбербанка.",sber,0.99
138,"Менеджер: А подскажите, заказ оформляли через все инструменты, правильно?","Менеджер: А подскажите, заказ оформляли через все инструменты, правильно?",всеинструменты.ру,0.92
140,Заказ стримером GREENWORKS.,Заказ стримером GREENWORKS.,greenworks,0.99
142,...в Яндекс. Маркете написано возврат...,...в Яндекс. Маркете написано возврат...,яндекс маркет,0.99
151,Морелью ручки будут и завертка к ним.,Морелью ручки будут и завертка к ним.,morelli,0.92
152,"Менеджер: Спасибо за ожидание, да вам необходимо написать в Яндекс. Маркет либо в чат с продавцом, то есть они подскажут о дальнейших действиях, что нужно сделать.","Менеджер: Спасибо за ожидание, да вам необходимо написать в Яндекс. Маркет либо в чат с продавцом, то есть они подскажут о дальнейших действиях, что нужно сделать.",яндекс маркет,0.99
152,"Клиент: Здравствуйте, подскажите, я товар заказывал через Яндекс. Маркет, получается, на все инструменты пришёл?","Клиент: Здравствуйте, подскажите, я товар заказывал через Яндекс. Маркет, получается, на все инструменты пришёл?",яндекс маркет,0.99
154,"Так здесь у вас БЕЛМАШ станок круглопильный, верно?","Так здесь у вас БЕЛМАШ станок круглопильный, верно?",белмаш,0.99
155,"это же фирма есть, они как бы CROWN этот 470.","это же фирма есть, они как бы CROWN этот 470.",crown,0.98
161,я оплачивал какую-то часть заказов ваших в вашем магазине бонусами Сбербанк.,я оплачивал какую-то часть заказов ваших в вашем магазине бонусами Сбербанк.,sber,0.98
164,стр... стремянка KRANZ.,стр... стремянка KRANZ.,kranz,0.99
164,стр... стремянка на роликах KRANZ STABILA 127 778.,стр... стремянка на роликах KRANZ STABILA 127 778.,kranz,0.99
164,стр... стремянка на роликах KRANZ STABILA 127 778.,стр... стремянка на роликах KRANZ STABILA 127 778.,stabilo,0.9
166,"Это разводной ключ, NEON от 0 до 34.","Это разводной ключ, NEON от 0 до 34.",neon,0.98
170,Менеджер: Крем групп,Менеджер: Крем групп,кремона,0.96
170,Менеджер: Крем групп,Менеджер: Крем групп,рк груп,0.96
177,"37 MAKITA, 9 810 да, оба заказа готовы к выдаче.","37 MAKITA, 9 810 да, оба заказа готовы к выдаче.",makita,0.99
178,"Менеджер: Можете задать вопрос Сбербанку, можете задать вопрос Сбербанку, он обязательно вас сориентирует и по срокам.","Менеджер: Можете задать вопрос Сбербанку, можете задать вопрос Сбербанку, он обязательно вас сориентирует и по срокам.",sber,0.96
178,"Клиент: Надо было, как будто летом в Сбербанк все время проходить, ага.","Клиент: Надо было, как будто летом в Сбербанк все время проходить, ага.",sber,0.96
181,"А Павел на Триммер CHAMPION, верно?","А Павел на Триммер CHAMPION, верно?",champion,1.0
185,ПРОМРУКАВ распределительная коробка 20 и трубка термосуживаемая тоже 20 августа.,ПРОМРУКАВ распределительная коробка 20 и трубка термосуживаемая тоже 20 августа.,промрукав,1.0
185,Все инструменты мы во многих городах находимся.,Все инструменты мы во многих городах находимся.,всеинструменты.ру,0.85
190,Менеджер: Можно это звонили от Яндекс Маркета?,Менеджер: Можно это звонили от Яндекс Маркета?,яндекс маркет,1.0
191,"…я бы хотела забрать этот заказ, там скотч у меня номер заказа…","…я бы хотела забрать этот заказ, там скотч у меня номер заказа…",scotch,0.6
203,"Тачка бизон двухколесная, да да, она еще комплектуется, она еще пока не в доставке.","Тачка бизон двухколесная, да да, она еще комплектуется, она еще пока не в доставке.",бизон,0.92
205,Яндекс,Яндекс,yandex,0.99
206,"Кабель канал Светильник, ПРОМРУКАВ этот.","Кабель канал Светильник, ПРОМРУКАВ этот.",промрукав,0.98
207,на Яндекс. Маркете,на Яндекс. Маркете,яндекс маркет,0.99
211,Ушм MAKITA Шуруповерт,Ушм MAKITA Шуруповерт,makita,0.99
212,"А нам нужен 1 пылесос Оттудова, называется за 34000 которая DEWALT или что то такое.","А нам нужен 1 пылесос Оттудова, называется за 34000 которая DEWALT или что то такое.",dewalt,0.99
212,DEWALT пылесос промышленный,DEWALT пылесос промышленный,dewalt,0.99
214,я заказывала на Яндексе нож,я заказывала на Яндексе нож,yandex,0.99
214,по срокам возврата денег у Яндекса нужно уточнять,по срокам возврата денег у Яндекса нужно уточнять,yandex,0.99
214,"Так перед тем, как принести в магазин нож, вы сначала на Яндекс. Маркет или Озон были?","Так перед тем, как принести в магазин нож, вы сначала на Яндекс. Маркет или Озон были?",яндекс маркет,0.99
214,"На Яндекс. Маркете, вы сначала должны были заявление написать на возврат.","На Яндекс. Маркете, вы сначала должны были заявление написать на возврат.",яндекс маркет,0.99
214,"Теперь вопросы к Яндекс. Маркету, куда они вам деньги вернут?","Теперь вопросы к Яндекс. Маркету, куда они вам деньги вернут?",яндекс маркет,0.99
214,"Так перед тем, как принести в магазин нож, вы сначала на Яндекс. Маркет или Озон были?","Так перед тем, как принести в магазин нож, вы сначала на Яндекс. Маркет или Озон были?",ozon,0.99
216,"Короче, я понял это в Техносонус, да?","Короче, я понял это в Техносонус, да?",техносонус,0.96
217,"Здравствуйте, все инструменты Кирилл, здравствуйте, Кирилл.","Здравствуйте, все инструменты Кирилл, здравствуйте, Кирилл.",всеинструменты.ру,0.96
219,заказывали у вас пустой в подарок через Яндекс. Маркет,заказывали у вас пустой в подарок через Яндекс. Маркет,яндекс маркет,0.99
219,на Яндекс. Маркете возврат оформил,на Яндекс. Маркете возврат оформил,яндекс маркет,0.99
219,через Яндекс. Маркет,через Яндекс. Маркет,yandex,0.98
219,на Яндекс. Маркете возврат оформил,на Яндекс. Маркете возврат оформил,yandex,0.98
221,"Клиент: Я заказывала в озоне, а доставка получается у меня от сейчас, скажу все инструменты.","Клиент: Я заказывала в озоне, а доставка получается у меня от сейчас, скажу все инструменты.",ozon,0.99
221,Менеджер: А вы заказывали у нас напрямую или в Яндекс Маркете или Озоне?,Менеджер: А вы заказывали у нас напрямую или в Яндекс Маркете или Озоне?,яндекс маркет,0.99
221,Менеджер: А вы заказывали у нас напрямую или в Яндекс Маркете или Озоне?,Менеджер: А вы заказывали у нас напрямую или в Яндекс Маркете или Озоне?,yandex,0.85
226,"Там масло, ликви моли.","Там масло, ликви моли.",liqui moly,1.0
226,Масло ликвиное синтетика вижу.,Масло ликвиное синтетика вижу.,liqui moly,1.0
232,"Скажите, пожалуйста, а у вас принимают бонусы, сбер спасибо?","Скажите, пожалуйста, а у вас принимают бонусы, сбер спасибо?",сберспасибо,0.97
232,"У нас отменили списание бонусов Сбер, спасибо с 21 июня.","У нас отменили списание бонусов Сбер, спасибо с 21 июня.",сберспасибо,0.97
232,А бонусы Сбер спасибо отменили за это.,А бонусы Сбер спасибо отменили за это.,сберспасибо,0.97
232,"У нас отменили списание бонусов Сбер, спасибо с 21 июня.","У нас отменили списание бонусов Сбер, спасибо с 21 июня.",sber,0.95
234,"Триммер GREENWORKS, да?","Триммер GREENWORKS, да?",greenworks,0.99
243,Коронка по бетону ЗУБР потом.,Коронка по бетону ЗУБР потом.,zubr,0.95
253,У меня штиль пила.,У меня штиль пила.,штиль,0.92
254,"Камиса Точка Иванов, собака Яндекс. Точка ру.","Камиса Точка Иванов, собака Яндекс. Точка ру.",yandex,0.96
254,Яндекс. Точка ру да угу,Яндекс. Точка ру да угу,yandex,0.96
257,"Да, Ремикс.","Да, Ремикс.",remix,0.98
270,"Менеджер: Добрый день, компания все инструменты, чем могу помочь.","Менеджер: Добрый день, компания все инструменты, чем могу помочь.",всеинструменты.ру,0.95
274,Все инструменты Оренбург Ленинская по моему 47 магазин тебя тоже работает с 9.,Все инструменты Оренбург Ленинская по моему 47 магазин тебя тоже работает с 9.,всеинструменты.ру,0.96
282,...в Леруа Мерлен посмотрел...,...в Леруа Мерлен посмотрел...,леруа мерлен,0.99
283,Пила цепная MAKITA,Пила цепная MAKITA,makita,0.99
287,ТЦ Меркурий,ТЦ Меркурий,меркурий,0.95
287,там есть граф Пол,там есть граф Пол,graf,0.7
300,"Менеджер: Смотрю ваши последние заказы, CHAMPION, набор генератор, верно, промо набор по данному заказу.","Менеджер: Смотрю ваши последние заказы, CHAMPION, набор генератор, верно, промо набор по данному заказу.",champion,0.99
305,"Отрезной так диск по металлу круг лепестковый торцевой парма, шлифмашина ушм.","Отрезной так диск по металлу круг лепестковый торцевой парма, шлифмашина ушм.",парма,0.7
310,Компания Гарант поставка.,Компания Гарант поставка.,garant,0.96
312,"Триммер, CHAMPION, правильно понимаю?","Триммер, CHAMPION, правильно понимаю?",champion,0.99
312,"вы можете обратиться в сервисный центр производителя либо же в любой магазин, все инструменты точка ру как удобнее.","вы можете обратиться в сервисный центр производителя либо же в любой магазин, все инструменты точка ру как удобнее.",всеинструменты.ру,0.98
320,"А какие бонусы Сбер, спасибо, Дмитрий Николаевич?","А какие бонусы Сбер, спасибо, Дмитрий Николаевич?",sber,0.95
320,"Сбер, спасибо, да?","Сбер, спасибо, да?",sber,0.95
321,"Точка Дэ Эс, собака Яндекс. Точка ру.","Точка Дэ Эс, собака Яндекс. Точка ру.",yandex,0.99
327,можете меня соединить с магазином Все Инструменты Нижний Тагил,можете меня соединить с магазином Все Инструменты Нижний Тагил,всеинструменты.ру,0.99
330,"Я заказывал это BRABIX код, 251 0 35 95","Я заказывал это BRABIX код, 251 0 35 95",brabix,0.99
333,Вот VERTEXTOOLS правильно.,Вот VERTEXTOOLS правильно.,vertextools,0.99
334,…платежная система Плэй…,…платежная система Плэй…,playme,0.96
336,компания АВТОDЕЛО оформил заказ,компания АВТОDЕЛО оформил заказ,автоdело,0.99
336,Так АВТОDЕЛО 1 минуту,Так АВТОDЕЛО 1 минуту,автоdело,0.99
336,"Давайте сейчас ЗУБР профессиональный высокоточный слесарный тиски, правильно?","Давайте сейчас ЗУБР профессиональный высокоточный слесарный тиски, правильно?",zubr,0.99
337,"Понял хорошо, тогда сейчас удалю оставлять только MAKITA ту торцовочную, да?","Понял хорошо, тогда сейчас удалю оставлять только MAKITA ту торцовочную, да?",makita,0.99
342,"Менеджер: Добрый день, менеджер поддержки Мария, чем могу помочь компания все инструменты?","Менеджер: Добрый день, менеджер поддержки Мария, чем могу помочь компания все инструменты?",всеинструменты.ру,0.96
349,"Так за насос союз, да вот этот вот...","Так за насос союз, да вот этот вот...",союз,0.85
350,многоступенчатый насос Уни унипум,многоступенчатый насос Уни унипум,unipump,0.92
365,Наконечник сварочный сварог за 475 р,Наконечник сварочный сварог за 475 р,сварог,0.98
371,списать бонусы Сбер,списать бонусы Сбер,sber,0.96
371,Сбер,Сбер,sber,0.96
377,Смеситель для кухни INGCO графит.,Смеситель для кухни INGCO графит.,ingco,0.99
382,я заказывала товар через Яндекс. Маркет хочу вернуть,я заказывала товар через Яндекс. Маркет хочу вернуть,яндекс маркет,0.98
382,в Яндексе,в Яндексе,яндекс маркет,0.98
382,в Яндексе,в Яндексе,yandex,0.95
385,на какой платформе делали заказ Озон или Яндекс,на какой платформе делали заказ Озон или Яндекс,yandex,0.99
385,На Яндексе Яндекс.,На Яндексе Яндекс.,yandex,0.99
385,на какой платформе делали заказ Озон или Яндекс,на какой платформе делали заказ Озон или Яндекс,ozon,0.99
394,"NAVIGATOR повел в деревню, поселок Константиново в Домодедовском районе?","NAVIGATOR повел в деревню, поселок Константиново в Домодедовском районе?",navigator,0.99
394,"NAVIGATOR привез, а так здесь указан адрес...","NAVIGATOR привез, а так здесь указан адрес...",navigator,0.99
394,"вывеска все инструменты, точка ру.","вывеска все инструменты, точка ру.",всеинструменты.ру,0.98
394,"Домашняя домашняя кухня чего, то АГРОСТОК вот.","Домашняя домашняя кухня чего, то АГРОСТОК вот.",агросток,0.97
397,"Менеджер: Менеджер поддержки Мария Добрый день, здравствуйте. Я сделал заказ через Яндекс Маркет, но в вашем магазине вот они ссылаются на вас.","Менеджер: Менеджер поддержки Мария Добрый день, здравствуйте. Я сделал заказ через Яндекс Маркет, но в вашем магазине вот они ссылаются на вас.",яндекс маркет,0.99
397,"Клиент: Здравствуйте, я делал заказ через Яндекс. Маркет, но в вашем магазине вот они ссылаются на вас.","Клиент: Здравствуйте, я делал заказ через Яндекс. Маркет, но в вашем магазине вот они ссылаются на вас.",яндекс маркет,0.99
397,Менеджер: Все заказы сделаны через Яндекс или Озон через них только можно уточнить.,Менеджер: Все заказы сделаны через Яндекс или Озон через них только можно уточнить.,yandex,0.98
397,"Клиент: Да так, значит, на Яндексе это 475.","Клиент: Да так, значит, на Яндексе это 475.",yandex,0.98
397,Менеджер: Все заказы сделаны через Яндекс или Озон через них только можно уточнить.,Менеджер: Все заказы сделаны через Яндекс или Озон через них только можно уточнить.,ozon,0.97
404,Менеджер: Все инструменты.,Менеджер: Все инструменты.,всеинструменты.ру,0.92
416,Компания Юнитрейд Алло.,Компания Юнитрейд Алло.,alloro,0.85
426,"Менеджер: Правильно понимаю, на Яндекс Маркете заказывали Угу?","Менеджер: Правильно понимаю, на Яндекс Маркете заказывали Угу?",яндекс маркет,0.99
426,"Менеджер: Да потому, что это заказ Яндекс. Маркета, вам только вот этот заказ продиктовали номер или же также наш заказ?","Менеджер: Да потому, что это заказ Яндекс. Маркета, вам только вот этот заказ продиктовали номер или же также наш заказ?",яндекс маркет,0.99
426,Менеджер: Только этот номер в таком случае только через чат Яндекс Маркета.,Менеджер: Только этот номер в таком случае только через чат Яндекс Маркета.,яндекс маркет,0.99
426,"Менеджер: Правильно понимаю, на Яндекс Маркете заказывали Угу?","Менеджер: Правильно понимаю, на Яндекс Маркете заказывали Угу?",yandex,0.97
426,"Менеджер: Да потому, что это заказ Яндекс. Маркета, вам только вот этот заказ продиктовали номер или же также наш заказ?","Менеджер: Да потому, что это заказ Яндекс. Маркета, вам только вот этот заказ продиктовали номер или же также наш заказ?",yandex,0.97
426,Менеджер: А ну тогда приходите в пункт выдачи все инструменты ру.,Менеджер: А ну тогда приходите в пункт выдачи все инструменты ру.,всеинструменты.ру,0.98
426,Менеджер: То есть вам сказали нам во все инструменты придти?,Менеджер: То есть вам сказали нам во все инструменты придти?,всеинструменты.ру,0.98
437,"Так, а тут было лукойл масло, да вот от этого отказались 2575 р.","Так, а тут было лукойл масло, да вот от этого отказались 2575 р.",лукойл,0.99
438,компания Икс Питон,компания Икс Питон,компания икс-бетон,0.95
449,"Менеджер: Модер поддержки, здравствуйте, слушаю вас.","Менеджер: Модер поддержки, здравствуйте, слушаю вас.",moder,0.99
449,"Клиент: Просто обычно, знаете, вот я на озоне покупаю на Яндексе быстро, оперативно.","Клиент: Просто обычно, знаете, вот я на озоне покупаю на Яндексе быстро, оперативно.",ozon,0.98
449,"Менеджер: Угу, да смотрите по поводу Яндекс Маркета.","Менеджер: Угу, да смотрите по поводу Яндекс Маркета.",яндекс маркет,0.99
449,"Менеджер: Если вы напрямую нас покупали по Яндекс. Маркету, я вам сейчас отправлю номер...","Менеджер: Если вы напрямую нас покупали по Яндекс. Маркету, я вам сейчас отправлю номер...",яндекс маркет,0.99
449,"Клиент: я на озоне покупаю на Яндексе быстро, оперативно.","Клиент: я на озоне покупаю на Яндексе быстро, оперативно.",yandex,0.97
455,при описании баллов сбер спасибо,при описании баллов сбер спасибо,сберспасибо,0.97
477,вас беспокоит служба поддержки клиентов Яндекс. Маркет,вас беспокоит служба поддержки клиентов Яндекс. Маркет,яндекс маркет,0.96
478,У меня Хускварна бренд интересует.,У меня Хускварна бренд интересует.,husqvarna,0.99
479,не через Яндекс было зайти.,не через Яндекс было зайти.,yandex,0.99
479,Сайт зашел на сайт через Яндекс.,Сайт зашел на сайт через Яндекс.,yandex,0.99
480,"Менеджер: Так у вас Руслан заказ на рукав напорный, на ствол пожарный CHAMPION на колонку пожарную?","Менеджер: Так у вас Руслан заказ на рукав напорный, на ствол пожарный CHAMPION на колонку пожарную?",champion,1.0
